senioridade,idade,horas_trabalho,pct_reunioes,interacoes_noturnas,periodo_sem_ferias,score_satisfacao,burnout_label
Junior,35,42,0.33,9,12,2,1
Junior,36,44,0.4,3,7,4,0
Pleno,20,44,0.34,9,18,4,1
Senior,30,49,0.57,9,19,5,1
Senior,25,49,0.11,9,9,2,1
Junior,20,58,0.55,4,8,2,1
Junior,24,41,0.3,6,4,2,0
Pleno,31,41,0.43,6,36,4,0
Senior,31,49,0.15,5,34,5,0
Junior,20,40,0.41,5,1,3,0
Junior,28,39,0.41,3,2,1,0
Junior,30,39,0.46,4,8,3,0
Pleno,30,40,0.2,4,7,3,0
Pleno,39,54,0.17,9,7,3,1
Senior,31,53,0.36,5,1,5,0
Junior,33,41,0.13,5,5,2,0
Junior,31,43,0.59,8,17,2,1
Junior,33,43,0.2,6,6,4,0
Junior,38,47,0.45,7,4,5,0
Junior,31,57,0.41,4,36,2,1
Senior,31,43,0.31,2,10,1,0
Senior,30,55,0.24,4,5,1,1
Senior,30,48,0.37,8,9,1,1
Senior,30,46,0.12,6,6,4,0
Junior,29,39,0.22,1,2,1,0
Pleno,38,50,0.11,3,6,2,0
Pleno,29,56,0.49,4,12,2,1
Senior,28,54,0.16,4,3,3,0
Junior,24,43,0.22,6,1,2,0
Junior,38,38,0.45,4,14,3,0
Senior,30,52,0.6,5,4,5,0
Pleno,34,52,0.46,8,28,5,1
Pleno,32,43,0.51,5,1,2,0
Senior,27,55,0.11,3,13,1,0
Junior,35,46,0.49,4,19,1,1
Pleno,34,44,0.31,5,16,4,0
Junior,30,43,0.34,3,36,3,0
Junior,22,42,0.28,7,28,4,0
Pleno,32,45,0.22,2,1,2,0
Pleno,22,45,0.5,5,24,1,1
Pleno,24,43,0.17,7,1,4,0
Senior,30,46,0.15,5,10,2,0
Pleno,36,46,0.11,6,6,2,0
Junior,29,46,0.26,3,0,2,0
Senior,32,50,0.24,5,5,4,0
Senior,27,54,0.37,1,10,1,0
Pleno,32,45,0.25,5,14,1,1
Senior,27,51,0.14,2,1,5,0
Pleno,20,41,0.47,4,7,1,1
Junior,31,42,0.3,10,0,5,0
Pleno,31,47,0.48,9,17,2,1
Junior,25,49,0.51,7,14,4,1
Pleno,29,45,0.25,9,8,4,0
Senior,38,44,0.51,4,5,4,0
Senior,36,48,0.26,7,1,4,0
Junior,22,47,0.4,5,2,3,0
Senior,36,45,0.22,5,0,5,0
Pleno,42,45,0.35,5,0,4,0
Junior,36,49,0.15,8,19,1,1
Pleno,28,42,0.11,6,6,1,0
Senior,27,44,0.27,5,14,3,0
Senior,24,51,0.29,3,4,3,0
Pleno,21,45,0.34,9,13,3,1
Pleno,38,40,0.4,4,1,3,0
Pleno,30,41,0.55,5,4,4,0
Senior,24,56,0.32,8,9,3,1
Senior,40,51,0.11,7,13,1,1
Junior,30,41,0.25,6,1,5,0
Junior,20,38,0.34,2,10,1,0
Junior,29,38,0.26,3,6,2,0
Pleno,24,37,0.58,7,12,4,0
Junior,38,45,0.12,5,36,5,0
Senior,23,47,0.57,5,14,1,1
Junior,26,47,0.53,11,31,2,1
Junior,28,44,0.19,7,1,4,0
Pleno,38,45,0.17,4,25,1,0
Junior,28,45,0.25,4,3,5,0
Junior,24,42,0.16,5,15,5,0
Pleno,36,45,0.59,13,11,3,1
Junior,34,40,0.58,1,29,5,0
Junior,20,44,0.34,7,28,1,1
Pleno,27,43,0.28,5,12,3,0
Junior,20,46,0.48,5,2,3,0
Junior,21,43,0.18,3,2,1,0
Junior,30,42,0.22,9,7,4,0
Pleno,40,57,0.44,6,8,3,1
Pleno,24,56,0.36,3,1,3,0
Junior,31,41,0.4,5,5,2,0
Pleno,31,39,0.3,7,9,1,1
Pleno,29,53,0.47,7,24,1,1
Senior,23,44,0.15,7,4,5,0
Senior,44,44,0.27,4,6,4,0
Senior,30,47,0.57,10,13,2,1
Junior,29,46,0.48,9,17,2,1
Pleno,32,48,0.45,3,11,3,0
Pleno,21,46,0.33,4,8,5,0
Junior,27,41,0.33,4,20,3,0
Junior,26,51,0.16,5,2,2,0
Junior,30,50,0.59,4,7,2,1
Junior,38,44,0.22,5,6,3,0
Senior,24,48,0.56,6,9,4,0
Junior,24,49,0.36,2,3,1,0
Senior,35,53,0.48,6,19,3,1
Junior,20,50,0.35,6,2,3,0
Pleno,31,45,0.55,3,5,5,0
Junior,31,51,0.37,6,8,1,1
Pleno,36,40,0.4,5,3,4,0
Pleno,24,43,0.41,3,0,2,0
Pleno,33,51,0.24,6,6,4,0
Senior,35,53,0.11,7,0,4,0
Pleno,26,42,0.38,9,4,3,1
Pleno,29,47,0.53,4,36,1,1
Pleno,24,38,0.14,2,13,1,0
Senior,29,55,0.46,6,12,2,1
Pleno,35,43,0.12,4,30,3,0
Senior,20,43,0.6,4,6,3,0
Pleno,38,45,0.52,6,35,2,1
Junior,33,50,0.33,6,12,4,0
Senior,22,49,0.52,6,15,2,1
Junior,29,51,0.57,9,26,1,1
Junior,28,45,0.21,14,10,4,1
Senior,32,47,0.33,5,0,3,0
Junior,34,47,0.3,12,9,2,1
Senior,26,51,0.52,5,4,5,0
Pleno,33,48,0.25,6,5,3,0
Junior,30,42,0.14,3,3,4,0
Senior,43,52,0.52,3,28,1,1
Junior,29,43,0.13,6,6,4,0
Pleno,35,46,0.11,2,0,2,0
Pleno,29,49,0.34,7,18,1,1
Pleno,31,46,0.36,2,1,4,0
Junior,27,40,0.56,11,21,3,1
Pleno,32,48,0.15,3,2,2,0
Junior,23,44,0.27,5,35,1,1
Senior,30,52,0.48,3,3,5,0
Pleno,26,47,0.59,7,14,2,1
Pleno,31,43,0.17,9,20,5,0
Senior,32,44,0.17,3,0,5,0
Senior,44,46,0.31,8,9,3,1
Senior,34,52,0.43,7,13,3,1
Junior,23,45,0.48,2,0,1,0
Junior,24,45,0.27,5,17,2,0
Junior,28,39,0.51,4,0,4,0
Pleno,20,46,0.55,6,1,5,0
Pleno,32,54,0.25,5,30,1,1
Pleno,20,47,0.43,3,12,3,0
Pleno,25,46,0.5,3,35,5,0
Junior,21,56,0.4,4,36,1,1
Senior,23,46,0.37,4,18,3,0
Pleno,35,41,0.22,9,7,1,1
Junior,27,47,0.42,3,2,2,0
Junior,29,49,0.11,6,11,4,0
Pleno,24,46,0.35,4,4,4,0
Junior,35,38,0.59,2,2,2,0
Junior,26,40,0.51,8,0,5,0
Senior,40,61,0.54,5,7,1,1
Junior,29,40,0.2,6,5,1,0
Junior,29,53,0.47,6,6,3,1
Pleno,29,42,0.14,7,10,5,0
Senior,26,49,0.32,6,15,1,1
Junior,35,40,0.13,2,6,1,0
Junior,32,39,0.49,6,20,3,0
Pleno,20,59,0.11,7,14,3,1
Pleno,27,42,0.24,5,1,5,0
Senior,21,41,0.16,3,30,3,0
Senior,20,55,0.41,7,22,4,1
Junior,34,42,0.28,2,2,3,0
Junior,36,41,0.2,5,1,1,0
Junior,28,48,0.21,8,21,2,1
Junior,21,41,0.11,6,1,2,0
Pleno,20,44,0.1,2,9,1,0
Junior,30,48,0.17,5,28,1,1
Senior,22,47,0.57,3,4,3,0
Junior,31,44,0.39,4,5,3,0
Junior,27,39,0.34,4,6,5,0
Senior,32,40,0.53,3,0,5,0
Junior,29,51,0.55,4,7,2,1
Junior,36,43,0.34,8,8,1,1
Junior,26,42,0.28,5,16,2,0
Junior,36,43,0.21,3,10,5,0
Pleno,24,39,0.3,6,1,3,0
Senior,27,53,0.49,5,11,3,1
Senior,35,47,0.43,7,5,5,0
Pleno,33,44,0.39,8,2,4,0
Junior,22,47,0.54,6,36,3,1
Senior,29,44,0.15,8,6,4,0
Pleno,28,38,0.37,5,5,5,0
Junior,29,42,0.19,2,14,3,0
Senior,35,56,0.43,3,8,1,1
Junior,36,47,0.32,3,0,4,0
Pleno,22,38,0.58,5,2,3,0
Pleno,38,43,0.32,3,4,2,0
Pleno,41,52,0.34,11,20,5,1
Pleno,35,44,0.32,4,8,3,0
Pleno,31,47,0.28,3,5,1,0
Senior,32,50,0.34,7,10,2,1
Junior,29,42,0.11,6,14,4,0
Pleno,23,49,0.34,5,1,3,0
Senior,33,45,0.15,3,3,4,0
Senior,27,43,0.32,4,33,3,0
Senior,27,61,0.43,5,2,5,0
Pleno,28,41,0.37,7,5,4,0
Pleno,26,51,0.12,3,2,3,0
Pleno,30,42,0.2,8,9,1,1
Junior,20,39,0.39,4,0,4,0
Pleno,26,50,0.11,4,2,5,0
Senior,33,48,0.36,8,13,1,1
Junior,29,46,0.49,4,0,4,0
Junior,32,52,0.17,8,18,1,1
Junior,30,41,0.19,3,15,1,0
Junior,25,37,0.57,3,20,3,0
Pleno,20,46,0.3,7,36,3,1
Pleno,20,47,0.12,8,5,2,1
Pleno,28,42,0.55,3,17,1,0
Pleno,38,47,0.38,7,8,1,1
Senior,20,60,0.27,3,3,5,0
Senior,30,49,0.37,6,11,3,1
Senior,24,49,0.33,1,0,2,0
Pleno,28,44,0.58,6,14,4,0
Senior,23,40,0.44,4,0,4,0
Pleno,39,46,0.19,5,15,3,0
Senior,36,53,0.57,3,5,5,0
Pleno,30,45,0.4,7,12,1,1
Junior,25,44,0.29,9,4,1,1
Pleno,35,38,0.55,3,7,1,0
Junior,31,40,0.23,3,27,2,0
Senior,33,45,0.32,4,3,4,0
Pleno,29,46,0.43,3,0,2,0
Junior,26,42,0.16,3,6,2,0
Pleno,25,45,0.21,4,5,2,0
Pleno,40,52,0.49,4,12,2,1
Senior,34,47,0.38,4,7,4,0
Junior,21,36,0.11,6,3,1,0
Senior,30,62,0.24,7,7,2,1
Pleno,35,44,0.2,7,4,3,0
Senior,34,48,0.51,5,36,5,0
Pleno,31,51,0.26,9,5,2,1
Junior,30,39,0.43,6,10,4,0
Pleno,41,44,0.24,4,36,5,0
Junior,22,44,0.31,9,7,2,1
Junior,30,45,0.56,4,1,4,0
Senior,20,42,0.59,7,2,4,0
Junior,24,49,0.25,3,11,1,0
Senior,21,45,0.35,6,25,1,1
Junior,42,40,0.25,3,9,1,0
Senior,24,56,0.57,4,16,2,1
Junior,28,38,0.29,2,36,5,0
Junior,27,39,0.15,7,5,4,0
Junior,33,40,0.31,8,6,3,0
Senior,30,48,0.25,10,7,3,1
Junior,22,47,0.13,6,8,5,0
Senior,21,44,0.51,5,1,5,0
Senior,30,45,0.1,3,36,5,0
Pleno,36,44,0.14,5,29,3,0
Junior,32,49,0.42,4,1,3,0
Pleno,27,40,0.11,3,27,3,0
Pleno,29,45,0.51,6,9,1,1
Junior,36,48,0.48,5,18,1,1
Junior,34,44,0.33,6,22,1,1
Senior,37,45,0.52,2,10,4,0
Pleno,21,55,0.59,10,11,3,1
Pleno,28,39,0.35,8,12,4,0
Junior,27,46,0.39,2,2,4,0
Pleno,31,48,0.58,1,0,2,0
Junior,20,42,0.27,7,8,5,0
Junior,41,47,0.37,12,6,2,1
Junior,40,46,0.49,6,3,5,0
Junior,22,42,0.48,4,14,3,0
Senior,26,47,0.53,5,27,2,1
Junior,27,41,0.48,0,22,5,0
Junior,22,45,0.35,8,5,5,0
Pleno,42,41,0.19,7,10,3,0
Pleno,31,47,0.54,2,6,1,0
Junior,30,48,0.14,6,13,3,0
Junior,30,41,0.33,5,20,5,0
Pleno,35,45,0.36,6,36,4,0
Junior,31,40,0.32,6,36,1,1
Junior,33,44,0.3,4,6,2,0
Junior,33,47,0.54,7,31,2,1
Senior,35,58,0.33,4,4,1,1
Senior,20,51,0.34,1,0,2,0
Junior,33,51,0.33,2,3,5,0
Pleno,26,47,0.11,4,5,1,0
Junior,28,50,0.46,7,5,1,1
Pleno,35,47,0.25,3,8,3,0
Senior,34,42,0.43,1,17,4,0
Pleno,24,56,0.58,11,13,5,1
Pleno,38,48,0.55,9,5,5,1
Senior,25,50,0.53,4,21,4,0
Junior,20,50,0.2,2,1,3,0
Junior,27,38,0.6,4,0,2,0
Junior,24,49,0.4,6,10,2,1
Junior,37,37,0.33,9,8,1,1
Pleno,27,43,0.15,7,0,2,0
Senior,31,51,0.24,5,22,1,1
Pleno,29,49,0.12,7,5,3,0
Pleno,26,46,0.18,2,19,3,0
Senior,28,56,0.11,6,16,2,1
Senior,23,51,0.54,7,8,3,1
Senior,24,44,0.26,8,5,5,0
Pleno,28,51,0.34,4,0,3,0
Senior,30,49,0.36,0,22,2,0
Junior,27,44,0.5,7,12,4,0
Pleno,25,48,0.12,8,20,2,1
Junior,28,43,0.54,2,12,5,0
Senior,35,53,0.1,8,18,1,1
Pleno,30,40,0.35,5,1,3,0
Senior,38,49,0.51,13,15,4,1
Senior,33,48,0.17,2,12,5,0
Pleno,39,41,0.45,7,7,4,0
Senior,22,40,0.44,9,24,3,1
Pleno,34,52,0.36,6,7,2,1
Junior,38,41,0.31,2,17,1,0
Pleno,24,41,0.49,7,0,5,0
Junior,31,40,0.1,3,20,5,0
Pleno,44,38,0.36,7,10,4,0
Pleno,38,42,0.16,2,4,1,0
Junior,32,46,0.56,3,16,1,1
Junior,20,41,0.45,4,3,3,0
Pleno,29,52,0.33,9,14,2,1
Pleno,32,49,0.22,5,2,3,0
Pleno,36,40,0.19,3,3,4,0
Junior,37,46,0.35,9,4,2,1
Pleno,40,47,0.47,9,36,3,1
Junior,30,43,0.13,1,4,5,0
Junior,35,38,0.1,5,9,2,0
Pleno,38,43,0.38,3,3,4,0
Junior,25,46,0.11,4,13,3,0
Pleno,25,46,0.18,4,4,1,0
Pleno,20,38,0.2,4,2,5,0
Junior,24,46,0.4,6,22,1,1
Senior,31,51,0.52,10,6,5,1
Junior,38,44,0.48,0,20,5,0
Junior,28,48,0.2,8,10,1,1
Junior,22,46,0.33,4,5,2,0
Pleno,30,44,0.36,7,27,2,1
Pleno,33,46,0.52,3,26,4,0
Junior,32,43,0.17,2,15,3,0
Senior,20,48,0.4,7,36,3,1
Senior,33,51,0.57,3,7,5,0
Pleno,31,44,0.34,7,23,5,0
Junior,36,46,0.55,2,1,3,0
Senior,32,47,0.48,5,20,5,0
Pleno,33,48,0.33,2,7,3,0
Pleno,31,47,0.55,5,19,5,0
Pleno,27,44,0.22,6,4,2,0
Junior,43,39,0.34,5,0,2,0
Pleno,26,46,0.16,6,12,1,1
Junior,26,37,0.29,4,4,4,0
Pleno,23,45,0.44,3,2,5,0
Junior,36,50,0.46,7,17,3,1
Pleno,45,44,0.27,4,16,3,0
Junior,21,46,0.18,6,31,2,1
Junior,20,44,0.58,6,10,2,1
Junior,24,45,0.42,7,14,1,1
Senior,38,45,0.48,6,9,2,1
Senior,25,48,0.41,8,9,4,1
Pleno,38,46,0.39,5,21,3,0
Senior,24,47,0.43,6,3,5,0
Junior,31,46,0.59,7,16,3,1
Senior,34,48,0.28,3,0,4,0
Junior,27,44,0.53,7,18,5,0
Junior,30,45,0.5,5,31,5,0
Senior,26,42,0.4,4,9,2,0
Junior,24,42,0.54,5,13,3,0
Senior,30,49,0.19,3,19,5,0
Senior,23,50,0.11,4,14,2,0
Junior,28,41,0.55,11,5,5,1
Junior,26,40,0.39,4,8,3,0
Junior,26,43,0.22,3,9,2,0
Junior,36,56,0.54,9,9,3,1
Junior,39,42,0.26,6,3,5,0
Senior,36,51,0.53,4,9,1,1
Junior,40,45,0.4,7,16,2,1
Senior,26,47,0.41,4,11,1,1
Pleno,30,53,0.45,4,6,4,0
Pleno,30,38,0.59,1,1,4,0
Senior,36,54,0.51,6,36,4,1
Pleno,29,46,0.13,4,14,4,0
Junior,33,44,0.34,8,19,5,0
Senior,21,50,0.35,3,13,1,1
Senior,26,50,0.25,2,0,1,0
Junior,37,48,0.4,2,1,3,0
Senior,28,44,0.2,4,0,1,0
Junior,38,38,0.47,2,9,5,0
Pleno,31,40,0.46,4,3,1,0
Pleno,46,53,0.53,10,20,5,1
Junior,35,47,0.51,8,7,4,1
Junior,25,40,0.42,8,3,4,0
Pleno,26,40,0.23,3,36,5,0
Junior,28,47,0.43,5,5,1,1
Junior,35,49,0.49,7,22,3,1
Pleno,25,43,0.34,2,3,4,0
Senior,27,56,0.24,1,7,4,0
Pleno,28,49,0.33,9,12,2,1
Pleno,24,47,0.19,1,0,5,0
Pleno,34,44,0.36,2,5,4,0
Pleno,27,53,0.48,7,18,1,1
Junior,28,43,0.28,1,18,3,0
Junior,36,42,0.32,3,20,3,0
Junior,20,43,0.4,5,3,2,0
Pleno,33,42,0.49,11,22,3,1
Pleno,26,50,0.18,7,8,2,1
Junior,34,41,0.54,5,12,3,0
Senior,33,49,0.42,2,3,4,0
Senior,25,46,0.52,5,3,5,0
Pleno,36,47,0.55,4,8,2,1
Senior,27,59,0.47,9,36,2,1
Pleno,40,44,0.51,3,0,4,0
Junior,32,38,0.3,5,3,3,0
Junior,26,48,0.11,9,6,2,1
Pleno,29,46,0.55,8,4,4,1
Senior,20,45,0.19,4,2,5,0
Junior,20,41,0.13,6,7,3,0
Senior,27,58,0.21,4,17,5,0
Pleno,37,50,0.51,3,24,1,1
Senior,31,50,0.41,5,36,5,0
Junior,31,43,0.53,1,6,3,0
Junior,20,42,0.2,3,8,1,0
Pleno,30,41,0.19,7,6,5,0
Junior,29,40,0.25,2,0,3,0
Pleno,30,42,0.13,3,6,5,0
Senior,30,52,0.16,10,27,4,1
Pleno,28,38,0.53,8,1,4,0
Pleno,32,46,0.42,0,9,3,0
Pleno,33,41,0.36,6,2,3,0
Junior,31,45,0.55,6,15,1,1
Junior,25,36,0.33,6,3,3,0
Pleno,35,52,0.44,10,6,3,1
Junior,33,45,0.53,6,16,1,1
Pleno,31,49,0.58,6,14,2,1
Junior,25,38,0.39,2,2,2,0
Junior,24,45,0.26,4,3,1,0
Junior,29,43,0.36,4,0,5,0
Junior,29,51,0.55,5,5,4,0
Pleno,39,50,0.14,6,0,3,0
Junior,30,46,0.42,6,11,2,1
Junior,26,43,0.35,6,10,1,1
Pleno,35,40,0.33,3,5,3,0
Senior,23,44,0.37,11,4,3,1
Pleno,31,47,0.33,3,10,2,0
Senior,42,51,0.27,7,11,2,1
Junior,36,46,0.51,4,0,4,0
Senior,24,43,0.53,4,3,2,0
Pleno,41,40,0.46,3,6,3,0
Junior,27,40,0.26,6,0,5,0
Pleno,24,39,0.5,4,12,3,0
Pleno,27,43,0.58,5,7,1,1
Senior,22,39,0.44,7,7,4,0
Pleno,38,45,0.42,5,11,2,0
Senior,27,45,0.11,5,8,5,0
Pleno,35,46,0.18,4,3,1,0
Junior,30,40,0.26,4,2,4,0
Junior,31,44,0.16,3,0,2,0
Pleno,35,47,0.46,3,15,1,1
Pleno,37,49,0.43,4,3,4,0
Junior,20,40,0.38,4,0,1,0
Pleno,34,54,0.52,4,24,1,1
Junior,31,37,0.14,3,34,1,0
Senior,32,50,0.28,4,12,4,0
Junior,32,47,0.42,4,14,3,0
Pleno,43,48,0.18,5,2,4,0
Junior,35,45,0.39,3,0,4,0
Pleno,31,40,0.23,10,8,5,0
Pleno,39,42,0.3,4,4,5,0
Pleno,35,44,0.37,3,0,4,0
Pleno,36,46,0.38,6,1,5,0
Senior,24,49,0.16,5,8,5,0
Senior,31,50,0.24,4,29,1,1
Pleno,39,57,0.47,5,9,2,1
Junior,26,48,0.24,4,1,1,0
Pleno,34,42,0.33,3,1,5,0
Junior,33,39,0.18,5,2,4,0
Pleno,24,49,0.37,2,0,1,0
Pleno,34,54,0.46,5,7,3,1
Junior,33,44,0.56,8,9,3,1
Pleno,26,50,0.59,6,20,1,1
Pleno,32,44,0.16,1,1,5,0
Pleno,27,59,0.49,6,18,3,1
Junior,32,40,0.22,7,3,5,0
Pleno,34,47,0.3,2,3,5,0
Senior,40,51,0.16,6,1,5,0
Pleno,31,38,0.59,4,2,3,0
Junior,29,41,0.45,3,17,2,0
Junior,24,46,0.34,4,10,4,0
Pleno,26,40,0.28,2,7,2,0
Junior,20,40,0.43,3,5,4,0
Junior,26,44,0.19,4,12,1,0
Senior,22,49,0.2,4,0,3,0
Senior,25,50,0.38,6,14,1,1
Pleno,20,51,0.42,8,1,5,0
Junior,26,45,0.55,0,7,4,0
Junior,33,44,0.59,5,13,2,1
Pleno,25,45,0.18,4,9,5,0
Pleno,26,46,0.41,6,2,3,0
Junior,25,39,0.29,5,16,2,0
Senior,30,50,0.58,2,16,1,1
Junior,31,41,0.29,4,3,3,0
Senior,33,57,0.28,6,14,1,1
Junior,25,45,0.47,4,9,3,0
Junior,32,42,0.46,4,5,3,0
Junior,35,55,0.19,9,15,4,1
Pleno,21,49,0.23,7,7,2,1
Junior,24,46,0.24,8,16,5,0
Junior,22,51,0.48,5,4,4,0
Pleno,32,37,0.27,8,2,4,0
Pleno,29,53,0.11,4,24,2,0
Pleno,32,50,0.28,11,18,1,1
Junior,20,46,0.42,11,10,1,1
Senior,24,44,0.38,3,0,5,0
Pleno,36,50,0.15,7,36,5,0
Pleno,37,44,0.25,3,0,2,0
Pleno,34,44,0.53,5,6,2,1
Senior,32,48,0.35,8,36,1,1
Junior,33,40,0.16,5,36,4,0
Senior,32,47,0.29,6,0,3,0
Junior,32,43,0.24,5,10,1,0
Senior,33,48,0.21,4,4,3,0
Junior,38,42,0.47,4,4,3,0
Pleno,35,51,0.4,7,6,2,1
Junior,39,38,0.36,5,1,1,0
Senior,23,48,0.46,4,2,3,0
Senior,26,56,0.59,8,9,1,1
Senior,20,49,0.25,4,9,5,0
Junior,32,41,0.42,0,6,3,0
Junior,32,44,0.24,8,13,1,1
Junior,32,42,0.14,8,0,4,0
Pleno,23,42,0.15,6,0,5,0
Pleno,27,40,0.33,6,7,2,0
Senior,27,46,0.58,3,0,5,0
Junior,33,44,0.59,0,1,5,0
Junior,20,44,0.43,1,5,5,0
Junior,25,41,0.55,2,8,4,0
Junior,22,39,0.45,5,6,2,0
Junior,26,45,0.47,8,27,1,1
Junior,27,37,0.34,5,5,5,0
Pleno,24,50,0.34,3,15,5,0
Junior,20,48,0.52,4,21,3,0
Senior,25,50,0.56,4,3,2,1
Senior,27,49,0.18,4,3,1,0
Junior,32,51,0.35,6,29,2,1
Pleno,28,51,0.58,6,16,1,1
Junior,33,44,0.35,4,10,1,0
Junior,24,46,0.4,4,19,1,1
Pleno,34,41,0.25,6,8,5,0
Junior,31,39,0.4,3,19,2,0
Junior,43,46,0.28,4,15,2,0
Junior,41,42,0.31,6,4,3,0
Pleno,28,45,0.13,4,30,5,0
Junior,32,37,0.28,4,1,2,0
Senior,33,46,0.58,5,9,1,1
Pleno,27,45,0.36,7,36,3,1
Junior,20,42,0.36,3,26,5,0
Pleno,22,56,0.47,8,26,1,1
Senior,25,44,0.15,3,12,5,0
Senior,32,52,0.32,7,10,2,1
Pleno,31,43,0.14,6,1,4,0
Pleno,30,48,0.51,1,4,1,0
Junior,23,47,0.18,1,8,4,0
Senior,27,48,0.46,5,7,4,0
Senior,39,39,0.56,4,11,5,0
Junior,26,49,0.32,5,3,5,0
Junior,23,38,0.39,5,36,3,0
Junior,29,44,0.16,6,35,1,1
Junior,29,39,0.32,6,27,4,0
Pleno,23,42,0.11,6,13,3,0
Junior,34,41,0.12,0,11,4,0
Pleno,35,52,0.5,3,12,1,1
Pleno,43,41,0.37,1,0,2,0
Junior,33,39,0.19,6,1,2,0
Junior,32,46,0.2,7,8,2,1
Junior,20,41,0.17,5,7,1,0
Senior,34,44,0.32,4,17,4,0
Senior,44,43,0.3,5,5,3,0
Junior,24,46,0.6,5,11,1,1
Senior,40,48,0.17,5,6,3,0
Junior,25,47,0.13,5,15,4,0
Pleno,21,46,0.17,2,6,3,0
Junior,35,42,0.51,6,12,3,0
Junior,30,40,0.4,7,1,4,0
Pleno,30,42,0.37,5,2,2,0
Junior,35,40,0.47,4,1,3,0
Pleno,40,49,0.24,6,9,3,0
Senior,24,56,0.28,6,31,1,1
Junior,28,46,0.41,7,24,3,1
Pleno,23,43,0.2,6,5,5,0
Junior,22,42,0.13,9,8,1,1
Junior,34,41,0.27,4,2,4,0
Senior,35,53,0.13,5,18,1,1
Junior,33,40,0.29,5,3,3,0
Junior,22,39,0.15,6,30,1,1
Pleno,32,45,0.13,5,19,3,0
Pleno,20,38,0.25,7,0,4,0
Junior,37,47,0.25,6,4,4,0
Pleno,36,49,0.1,4,6,3,0
Pleno,32,44,0.48,4,2,5,0
Pleno,44,51,0.53,5,10,2,1
Pleno,30,40,0.32,4,10,4,0
Pleno,34,43,0.28,3,6,4,0
Junior,33,42,0.34,5,5,2,0
Junior,34,45,0.37,4,2,3,0
Pleno,25,50,0.49,3,22,1,1
Pleno,40,52,0.11,3,9,3,0
Senior,36,43,0.29,6,1,2,0
Pleno,27,41,0.35,1,4,2,0
Pleno,39,51,0.43,8,7,4,1
Senior,30,40,0.6,4,4,2,0
Senior,25,51,0.57,7,8,2,1
Junior,23,41,0.2,0,7,1,0
Pleno,26,44,0.16,8,11,3,0
Senior,32,57,0.59,2,8,5,0
Pleno,27,51,0.23,1,4,2,0
Pleno,29,39,0.39,5,36,3,0
Junior,21,46,0.18,4,11,5,0
Senior,30,56,0.41,5,27,1,1
Junior,29,42,0.4,6,28,1,1
Junior,42,38,0.16,3,2,2,0
Junior,31,39,0.38,4,0,5,0
Junior,36,39,0.13,4,9,5,0
Junior,28,39,0.4,8,12,5,0
Pleno,37,53,0.3,4,15,1,1
Junior,41,41,0.29,3,0,2,0
Junior,31,46,0.44,5,4,5,0
Junior,30,49,0.3,7,7,2,1
Junior,33,43,0.23,3,5,4,0
Junior,34,39,0.34,5,1,5,0
Senior,26,51,0.13,5,2,5,0
Junior,29,41,0.5,3,3,2,0
Pleno,26,37,0.18,5,0,4,0
Junior,32,44,0.59,5,9,2,1
Pleno,24,42,0.52,7,3,4,0
Junior,22,55,0.55,3,12,2,1
Pleno,31,44,0.33,4,36,3,0
Senior,33,40,0.12,4,0,2,0
Pleno,40,53,0.21,1,1,3,0
Pleno,20,42,0.41,3,7,3,0
Pleno,31,43,0.28,5,19,1,1
Senior,25,46,0.6,6,28,5,0
Junior,33,44,0.53,3,4,4,0
Pleno,22,56,0.2,4,0,2,0
Pleno,26,50,0.36,3,36,1,1
Junior,36,46,0.27,2,11,4,0
Junior,41,42,0.54,8,4,2,1
Junior,20,49,0.28,7,1,4,0
Pleno,29,44,0.42,3,5,3,0
Junior,28,44,0.28,6,12,1,1
Pleno,45,51,0.32,4,20,5,0
Pleno,31,46,0.17,1,14,2,0
Senior,27,55,0.34,10,6,4,1
Pleno,28,45,0.43,2,5,1,0
Pleno,30,48,0.21,5,0,5,0
Pleno,40,37,0.52,9,14,5,0
Junior,26,42,0.45,5,11,2,0
Senior,49,49,0.5,6,12,1,1
Pleno,20,45,0.46,5,1,5,0
Senior,26,51,0.19,3,12,1,0
Pleno,22,47,0.6,4,1,3,0
Junior,38,43,0.28,4,9,2,0
Senior,24,46,0.34,4,9,3,0
Pleno,30,42,0.37,6,7,3,0
Senior,26,56,0.35,6,7,3,1
Junior,24,39,0.43,5,0,5,0
Junior,29,41,0.12,4,15,4,0
Junior,31,38,0.51,2,19,1,0
Pleno,29,49,0.58,5,4,5,0
Pleno,25,46,0.3,2,20,2,0
Junior,29,46,0.43,3,13,2,0
Junior,31,42,0.29,4,3,2,0
Senior,29,49,0.26,4,3,3,0
Senior,23,51,0.58,6,13,4,1
Junior,22,39,0.19,4,22,3,0
Pleno,31,51,0.1,6,6,4,0
Pleno,20,46,0.58,5,3,4,0
Pleno,24,38,0.34,7,3,5,0
Pleno,20,49,0.34,3,10,4,0
Junior,22,37,0.19,6,7,2,0
Senior,35,40,0.21,5,8,4,0
Junior,21,45,0.35,7,10,5,0
Junior,31,39,0.2,5,36,2,0
Senior,29,51,0.36,4,12,1,1
Junior,27,37,0.27,1,6,2,0
Senior,26,49,0.5,5,12,2,1
Junior,26,45,0.45,4,11,5,0
Pleno,28,52,0.53,6,10,1,1
